spines,branch_third,condition,compartment,peak_voltage
20,1,SAAred,soma,4.049853654627668
20,1,SAAred,soma,4.435493308470747
20,1,SAAred,soma,4.381804440934232
20,1,SAAred,soma,4.3300450417687415
20,1,SAAred,soma,4.239445295402469
20,1,SAAred,soma,3.687601652847974
20,1,SAAred,soma,3.4807716202194285
20,1,SAAred,soma,4.412922952528106
20,1,SAAred,soma,4.293778139552359
20,1,SAAred,soma,3.743656349197302
20,1,SAAred,soma,3.6700058914897227
20,1,SAAred,soma,4.124194425597537
20,1,SAAred,soma,4.207741103416964
20,1,SAAred,soma,3.8692186221698677
20,1,SAAred,soma,4.037789272818692
20,1,SAAred,soma,4.065667092666345
20,1,SAAred,soma,4.604868424116951
20,1,SAAred,soma,3.9584132813131987
20,1,SAAred,soma,3.9265447872900765
20,1,SAAred,soma,3.2668891514948726
20,1,SAAred,soma,3.876094135828801
20,1,SAAred,dend,64.24957337450525
20,1,SAAred,dend,65.23367241961544
20,1,SAAred,dend,64.46316227183534
20,1,SAAred,dend,65.85623133566848
20,1,SAAred,dend,65.37387698506471
20,1,SAAred,dend,63.99016821306908
20,1,SAAred,dend,59.96590087339536
20,1,SAAred,dend,64.52323764462591
20,1,SAAred,dend,64.90532310961963
