spines,branch_third,condition,soma_peak
20,3,plaque,4.816501907619781
20,3,plaque,4.572618908511188
20,3,plaque,4.035645036111482
20,3,plaque,5.381986292436274
20,3,plaque,4.456150875728916
20,3,plaque,4.7642255969562015
20,3,plaque,4.959298592762799
20,3,plaque,3.9202877405859056
20,3,plaque,4.631609203651543
20,3,plaque,4.376321176447483
20,3,plaque,5.027965315984233
20,3,plaque,4.694694913956219
20,3,plaque,4.606511992333132
20,3,plaque,5.076964614112313
20,3,plaque,4.648965351293732
20,3,plaque,4.288325134555691
20,3,plaque,4.68001102903154
20,3,plaque,4.507588822056647
20,3,plaque,4.242510077350055
20,3,plaque,4.510529867576857
20,3,plaque,4.84797977739678
20,3,plaque,4.280213754525903
20,3,plaque,4.402618868536081
20,3,SAAeq,4.771601342525486
20,3,SAAeq,5.129041764429033
20,3,SAAeq,4.551332925960459
20,3,SAAeq,5.226878650476124
20,3,SAAeq,4.460573075355477
20,3,SAAeq,4.802112721308944
20,3,SAAeq,5.640074871025746
20,3,SAAeq,5.328319868558758
20,3,SAAeq,5.104633366262647
20,3,SAAeq,4.533170279209401
20,3,SAAeq,4.90388233673675
20,3,SAAeq,3.976819879011373
20,3,SAAeq,5.827166152110962
20,3,SAAeq,4.634103845990268
20,3,SAAeq,4.0059016203194275
20,3,SAAeq,4.14550987850933
20,3,SAAeq,4.119293980779432
20,3,SAAeq,4.4216575394699404
20,3,SAAeq,4.296447845223142
20,3,SAAeq,5.696650659205254
20,3,SAAeq,4.388084608649557
20,3,SAAeq,5.03414422976153
20,3,SAAeq,6.065734477111555
20,3,SAAeq,5.041975807945917
20,3,SAAeq,4.576245785673798
20,3,SAAeq,4.676894421173486
20,3,SAAeq,4.046987328088711
20,3,SAAeq,4.35268831128937
20,3,SAAeq,4.43444767586805
20,3,SAAeq,4.665534490989785
20,3,SAAeq,4.906722721159888
20,3,SAAeq,5.20685479373477
20,3,SAAeq,4.423677792017273
20,3,SAAeq,4.762582418258354
20,3,SAAeq,4.973619075935119
20,3,SAAeq,4.130447052771842
20,3,SAAeq,5.132085645285493
20,3,SAAeq,5.517790944134141
20,3,SAAeq,4.14483318645587
20,3,SAAeq,4.260862552226044
20,3,SAAeq,3.970979411527658
20,3,SAAeq,4.8278626639194755
20,3,SAAeq,4.734029391940602
20,3,SAAeq,5.183018149191575
20,3,SAAeq,4.1170777363232745
20,3,SAAeq,5.253211659793379
20,3,SAAeq,5.167641263641549
20,3,SAAeq,4.744307822877488
20,3,SAAeq,4.319066658442416
20,3,SAAeq,5.160689936870078
20,3,SAAred,4.964529091349462
20,3,SAAred,4.235591989173479
20,3,SAAred,4.615045930700916
20,3,SAAred,5.048387244363369
20,3,SAAred,4.877123919379791
20,3,SAAred,3.7080421441327474
20,3,SAAred,5.380158842656677
20,3,SAAred,4.32041876646295
20,3,SAAred,3.896066980287479
20,3,SAAred,3.320675609374618
20,3,SAAred,3.798882239723227
20,3,SAAred,5.136817146119057
20,3,SAAred,3.3201763325734888
20,3,SAAred,4.6822950113609
20,3,SAAred,4.77889023488499
20,3,SAAred,3.87033713710872
20,3,SAAred,3.3555780407478366
20,3,SAAred,4.804733011899955
20,3,SAAred,3.8848854226077734
20,3,SAAred,4.284969228307062
20,3,SAAred,4.629209717625777
20,3,SAAred,4.5445625958896585
20,3,SAAred,5.095915282294158
20,3,SAAred,4.355902934603272
20,3,SAAred,3.843077737228157
20,3,SAAred,4.312949350452527
20,3,SAAred,4.695788887850561
20,3,SAAred,3.6766269510552547
20,3,SAAred,4.249316928644532
20,3,SAAred,4.7952863098869685
20,3,SAAred,3.9665629342975777
20,3,SAAred,4.651354470809267
20,3,SAAred,4.881637870329591
20,3,SAAred,4.4181821320304095
20,3,SAAred,4.178893884414748
20,3,SAAred,4.091219660727084
20,3,SAAred,4.2335787344209095
20,3,SAAred,4.101496347103804
20,3,SAAred,5.907725492569753
20,3,SAAred,3.8858555289012813
20,3,SAAred,4.267324068491007
20,3,SAAred,4.714875220843261
20,3,SAAred,4.682466876252839
20,3,SAAred,4.622428168377681
20,3,SAAred,4.858688176871745
20,3,SAAred,4.520708165074296
20,3,SAAred,3.6019762394271027
20,3,SAAred,3.41551527256226
20,3,SAAred,4.190698400104623
20,3,SAAred,5.642057584428244
