spines,branch_third,condition,compartment,peak_voltage
20,2,SAAeq,soma,4.825506171728449
20,2,SAAeq,soma,4.4148285435326216
20,2,SAAeq,soma,5.463110117224197
20,2,SAAeq,soma,4.6690599443641005
20,2,SAAeq,soma,4.2396856441173725
20,2,SAAeq,soma,4.840071060089663
20,2,SAAeq,soma,4.621106897835112
20,2,SAAeq,soma,3.8908776412235397
20,2,SAAeq,soma,5.180035368070385
20,2,SAAeq,soma,4.374839151621472
20,2,SAAeq,soma,4.387971094194434
20,2,SAAeq,soma,4.939564547335223
20,2,SAAeq,soma,4.669245695038448
20,2,SAAeq,soma,4.354467254454136
20,2,SAAeq,soma,3.797467925696047
20,2,SAAeq,soma,5.043376691548659
20,2,SAAeq,dend,67.09083356304964
20,2,SAAeq,dend,67.75059510999989
20,2,SAAeq,dend,67.14854826120985
20,2,SAAeq,dend,67.84612913857515
20,2,SAAeq,dend,67.99898706698994
20,2,SAAeq,dend,67.07271633026296
20,2,SAAeq,dend,66.29888756177625
20,2,SAAeq,dend,67.35340811783077
20,2,SAAeq,dend,65.4412346264616
20,2,SAAeq,dend,66.75708218606538
20,2,SAAeq,dend,67.24692808778178
20,2,SAAeq,dend,67.73205486381809
20,2,SAAeq,dend,67.56443097903154
20,2,SAAeq,dend,66.58440235874316
20,2,SAAeq,dend,67.2668821085605
20,2,SAAeq,dend,66.92688956427693
20,2,SAAeq,dend,66.82142726041815
20,2,SAAeq,dend,64.08766817507431
20,2,SAAeq,dend,66.2861331397808
20,2,SAAeq,dend,66.33890534006177
20,2,SAAeq,dend,65.18357284106861
20,2,SAAeq,dend,66.17135475607435
20,2,SAAeq,dend,67.29262319986793
20,2,SAAeq,dend,67.18830726847274
20,2,SAAeq,dend,64.98312564526354
20,2,SAAeq,dend,65.17178754049593
20,2,SAAeq,dend,67.94711024076048
20,2,SAAeq,dend,66.44249756798638
20,2,SAAeq,dend,67.15797132568596
20,2,SAAeq,dend,67.22800264854612
20,2,SAAeq,dend,67.62374698256377
20,2,SAAeq,dend,67.25902450652978
20,2,SAAeq,dend,68.12852228339115
20,2,SAAeq,dend,66.93358715377802
20,2,SAAeq,dend,66.70560644265963
20,2,SAAeq,dend,66.45206897725392
20,2,SAAeq,dend,67.6574471801857
20,2,SAAeq,dend,67.8690163071866
20,2,SAAeq,dend,67.42332277708392
20,2,SAAeq,dend,66.5109311678401
20,2,SAAeq,dend,66.58822392297115
20,2,SAAeq,dend,65.94085462373216
20,2,SAAeq,dend,67.88837604515628
20,2,SAAeq,dend,65.74303119278247
20,2,SAAeq,dend,67.32565420714654
20,2,SAAeq,dend,67.54403806507547
20,2,SAAeq,dend,67.81062307001025
20,2,SAAeq,dend,65.92195073901429
20,2,SAAeq,dend,67.01346250810481
20,2,SAAeq,dend,67.65620877204742
20,2,SAAred,soma,4.243569646673137
20,2,SAAred,soma,3.9220322978775215
20,2,SAAred,soma,4.5486749037276795
20,2,SAAred,soma,4.09693560300105
20,2,SAAred,soma,3.665459709387193
20,2,SAAred,soma,4.531464875687533
20,2,SAAred,soma,3.998666159914613
20,2,SAAred,soma,4.366048185499281
